x [m],y [m],u [m/s],v [m/s]
0.081793,0.068344,0.00008124,0.00171647
0.075206,0.028820,0.00012187,0.00164899
0.048856,0.116652,0.00016617,0.00008252
0.066423,0.083715,0.00104165,0.00230432
0.031290,0.024428,0.00004577,0.00186837
0.007136,0.024428,-0.00003376,0.00051709
0.055444,0.077127,0.00091832,0.00176350
0.149863,0.118847,0.00192103,0.00011678
0.059835,0.085910,0.00110563,0.00178675
0.011528,0.107868,0.00002525,0.00009962
0.031290,0.041995,0.00009275,0.00174810
0.167429,0.114456,0.00074077,0.00071915
0.007136,0.041995,0.00001319,0.00026545
0.055444,0.094694,0.00139374,0.00139162
0.059835,0.103477,0.00064647,0.00081837
0.165234,0.112260,0.00077618,0.00128374
0.064227,0.083715,0.00094731,0.00214890
0.075206,0.079323,0.00053478,0.00219944
0.011528,0.063953,-0.00005105,0.00018094
0.046661,0.035407,0.00057114,0.00140359
0.051052,0.044190,0.00003972,0.00103419
0.057640,0.101281,0.00072494,0.00082102
0.152059,0.116652,0.00346461,0.00034804
0.059835,0.006862,0.00006310,0.00177497
0.046661,0.052974,0.00029856,0.00167014
0.051052,0.061757,0.00008203,0.00191373
0.088381,0.013449,0.00001311,0.00049595
0.070814,0.090302,0.00162124,0.00251128
0.070814,0.011253,0.00003989,0.00150843
0.055444,0.083715,0.00110048,0.00161184
0.086185,0.066148,-0.00005036,0.00121589
0.077402,0.121043,0.00028194,-0.00009347
0.134492,0.112260,0.00817448,0.00033614
0.044465,0.009058,-0.00029771,0.00246545
0.020311,0.009058,-0.00004190,0.00069670
0.024703,0.118847,0.00004204,0.00007401
0.048856,0.017841,0.00008981,0.00168337
0.086185,0.083715,0.00001635,0.00200611
0.090577,0.037603,0.00015923,0.00089978
0.094968,0.116652,0.00482678,-0.00002441
0.152059,0.105673,0.00663122,0.00032638
0.026898,0.059561,0.00021428,0.00137224
0.046661,0.041995,0.00029130,0.00101039
0.079598,0.039799,0.00012385,0.00096264
0.077402,0.024428,0.00027436,0.00200297
0.009332,0.081519,0.00002469,0.00007746
0.057640,0.055169,0.00009769,0.00181290
0.004941,0.020037,0.00006173,0.00012900
0.077402,0.041995,0.00002115,0.00120558
0.105947,0.103477,0.00142205,0.00010747
0.033486,0.037603,0.00005419,0.00148209
0.011528,0.026624,-0.00008933,0.00068832
0.037877,0.046386,0.00021494,0.00151452
0.070814,0.044190,-0.00026457,0.00121129
0.090577,0.088106,0.00016851,0.00158178
0.013724,0.068344,0.00006016,0.00024797
0.018115,0.077127,0.00007669,0.00026208
0.112534,0.118847,0.00477811,-0.00000783
0.053248,0.039799,0.00004623,0.00149554
0.018115,0.094694,0.00002622,0.00013999
0.004941,0.070540,0.00005221,0.00014529
0.062031,0.002470,0.00017238,0.00215392
0.009332,0.035407,-0.00006696,0.00032706
0.097164,0.121043,0.00294270,0.00020093
0.033486,0.088106,0.00053895,0.00070133
0.037877,0.096889,0.00043291,0.00045111
0.114730,0.116652,0.00575429,0.00005563
0.037877,0.114456,0.00005221,0.00008056
0.046661,0.004666,0.00025193,0.00123033
0.070814,0.050778,0.00000190,0.00138897
0.051052,0.013449,0.00012824,0.00082790
0.090577,0.094694,0.00029741,0.00183632
0.029094,0.002470,-0.00037513,0.00225916
0.015920,0.048582,0.00001529,0.00060237
0.044465,0.057365,0.00017845,0.00186017
0.018115,0.083715,0.00005901,0.00019408
0.020311,0.057365,0.00015123,0.00062183
0.048856,0.066148,0.00036008,0.00165717
0.035682,0.112260,0.00005185,0.00010376
0.154255,0.116652,0.00311609,0.00083329
0.040073,0.121043,0.00006828,0.00007981
0.029094,0.020037,-0.00000279,0.00199737
0.081793,0.096889,0.00173681,0.00274581
0.083989,0.028820,0.00023191,0.00107196
0.048856,0.083715,0.00119071,0.00162932
0.062031,0.070540,0.00048622,0.00198538
0.002745,0.088106,0.00005840,0.00004340
0.114730,0.105673,0.00289201,0.00013708
0.035682,0.015645,-0.00002506,0.00161468
0.009332,0.041995,0.00001922,0.00038922
0.042269,0.039799,-0.00012638,0.00193608
0.040073,0.024428,-0.00023087,0.00204558
0.033486,0.094694,0.00036704,0.00038298
0.015920,0.099085,-0.00000167,0.00014249
0.044465,0.107868,0.00034465,0.00030721
0.020311,0.107868,0.00005148,0.00011353
0.011528,0.074931,0.00002274,0.00019217
0.079598,0.009058,0.00018867,0.00169408
0.073010,0.057365,0.00009563,0.00122220
0.029094,0.070540,0.00049329,0.00120438
0.147667,0.112260,0.00678271,0.00062092
0.171821,0.118847,-0.00036052,-0.00021929
0.044465,0.063953,0.00043034,0.00137040
0.081793,0.085910,0.00030665,0.00190520
0.020311,0.063953,0.00024470,0.00059446
0.011528,0.092498,0.00002695,0.00009569
0.048856,0.072736,0.00068304,0.00164859
0.075206,0.046386,-0.00001110,0.00129129
0.083989,0.079323,0.00021062,0.00191677
0.002745,0.077127,0.00006665,0.00006446
0.066423,0.101281,0.00190608,0.00155425
0.081793,0.103477,0.00377219,0.00289814
0.163038,0.105673,0.00028271,0.00061365
0.002745,0.094694,0.00001309,-0.00000114
0.070814,0.013449,-0.00013617,0.00144969
0.068619,0.020037,-0.00025071,0.00127853
0.022507,0.009058,-0.00010561,0.00130654
0.055444,0.112260,0.00075265,0.00027420
0.059835,0.121043,0.00019324,0.00004738
0.073010,0.046386,-0.00005730,0.00124325
0.073010,0.107868,0.00271597,0.00117248
0.081793,0.006862,0.00027836,0.00147151
0.015920,0.105673,0.00001494,0.00013719
0.044465,0.114456,0.00011801,0.00008205
0.064227,0.101281,0.00167176,0.00139499
0.075206,0.096889,0.00155196,0.00221936
0.011528,0.081519,0.00002258,0.00008258
0.053248,0.009058,0.00019560,0.00195122
0.057640,0.118847,0.00022975,0.00010552
0.073010,0.063953,0.00009919,0.00181703
0.055444,0.015645,0.00015307,0.00121166
0.059835,0.024428,0.00016434,0.00104150
0.009332,0.004666,0.00008961,0.00042195
0.057640,0.031016,0.00049114,0.00106634
0.075206,0.114456,0.00285092,0.00057971
0.079598,0.068344,0.00007164,0.00171320
0.088381,0.039799,0.00007177,0.00093598
0.068619,0.070540,0.00035991,0.00190250
0.066423,0.055169,0.00009707,0.00197251
0.013724,0.026624,-0.00019791,0.00053922
0.116926,0.116652,0.00565840,-0.00000712
0.055444,0.101281,0.00080383,0.00077831
0.044465,0.026624,-0.00001593,0.00193168
0.020311,0.026624,0.00002527,0.00151879
0.086185,0.101281,0.00303609,0.00288316
0.073010,0.114456,0.00236874,0.00052569
0.022507,0.068344,0.00028464,0.00079727
0.026898,0.077127,0.00041345,0.00076277
0.079598,0.057365,0.00032435,0.00189699
0.042269,0.009058,-0.00039922,0.00240523
0.004941,0.037603,0.00003721,0.00018797
0.134492,0.118847,0.00506123,0.00023396
0.011528,0.052974,0.00004460,0.00024511
0.066423,0.061757,0.00023028,0.00171535
0.105947,0.121043,0.00415406,0.00011143
0.086185,0.090302,0.00030052,0.00199885
0.013724,0.085910,0.00001931,0.00014935
0.125709,0.105673,0.00661969,-0.00037353
0.121318,0.114456,0.00662579,0.00018640
0.031290,0.020037,0.00001234,0.00206580
0.007136,0.020037,-0.00004703,0.00038963
0.053248,0.057365,0.00014869,0.00143140
0.026898,0.083715,0.00023814,0.00053139
0.086185,0.055169,0.00022657,0.00129101
0.004941,0.088106,0.00006194,0.00005541
0.136688,0.116652,0.00614776,0.00061341
0.158646,0.110064,0.00189293,0.00156758
0.004941,0.105673,0.00004538,0.00009870
0.123513,0.105673,0.00648824,-0.00044168
0.018115,0.015645,0.00002785,0.00091306
0.051052,0.039799,0.00018512,0.00102763
0.121318,0.103477,0.00304642,-0.00013402
0.031290,0.070540,0.00060297,0.00132905
0.046661,0.022232,0.00004625,0.00190978
0.007136,0.070540,0.00004278,0.00018214
0.090577,0.112260,0.00666840,0.00121438
0.013724,0.092498,0.00004279,0.00012099
0.015920,0.066148,0.00010223,0.00032589
0.044465,0.074931,0.00098614,0.00170737
0.018115,0.101281,-0.00002046,0.00014676
0.020311,0.074931,0.00015641,0.00044399
0.053248,0.107868,0.00091948,0.00036726
0.136688,0.105673,0.00783878,0.00013098
0.088381,0.009058,0.00030092,0.00075740
0.037877,0.035407,0.00015850,0.00132814
0.053248,0.063953,0.00019481,0.00187691
0.083989,0.046386,0.00021383,0.00114313
0.086185,0.061757,-0.00002608,0.00095952
0.048856,0.101281,0.00101042,0.00074765
0.062031,0.088106,0.00099194,0.00165618
0.090577,0.015645,0.00000404,0.00052283
0.127905,0.110064,0.00859539,0.00024690
0.035682,0.033211,0.00019063,0.00183627
0.042269,0.057365,0.00013898,0.00189092
0.033486,0.112260,0.00002922,0.00009869
0.169625,0.112260,0.00084166,-0.00024004
0.037877,0.121043,0.00005264,0.00005593
0.077402,0.020037,0.00026461,0.00188858
0.143276,0.103477,0.00570548,0.00000877
0.130101,0.116652,0.00658915,0.00031833
0.079598,0.026624,0.00019297,0.00134317
0.033486,0.015645,0.00000313,0.00167936
0.029094,0.088106,0.00024756,0.00045481
0.011528,0.004666,0.00004637,0.00050903
0.015920,0.072736,0.00005652,0.00027772
0.044465,0.081519,0.00100110,0.00155781
0.053248,0.114456,0.00042721,0.00018084
0.020311,0.081519,0.00007102,0.00027108
0.048856,0.090302,0.00076034,0.00111447
0.062031,0.077127,0.00079719,0.00209859
0.083989,0.096889,0.00150267,0.00268664
0.066423,0.118847,0.00048860,0.00010936
0.092772,0.059561,0.00004850,0.00057259
0.037877,0.041995,0.00002325,0.00186426
0.070814,0.039799,0.00007392,0.00145612
0.081793,0.121043,0.00090013,0.00011556
0.066423,0.031016,0.00020423,0.00140984
0.062031,0.094694,0.00129746,0.00142900
0.002745,0.112260,0.00007722,0.00001424
0.048856,0.055169,0.00041103,0.00161983
0.077402,0.070540,0.00014826,0.00200149
0.068619,0.037603,0.00015659,0.00165876
0.068619,0.099085,0.00159654,0.00163891
0.022507,0.026624,-0.00003334,0.00163016
0.024703,0.068344,0.00026958,0.00091232
0.081793,0.024428,0.00050754,0.00128373
0.064227,0.118847,0.00042050,0.00009863
0.002745,0.015645,0.00033804,0.00027456
0.073010,0.081519,0.00071818,0.00224986
0.029094,0.094694,0.00019448,0.00022722
0.055444,0.033211,0.00045397,0.00141843
0.083989,0.103477,0.00373023,0.00266506
0.009332,0.022232,-0.00008274,0.00045747
0.088381,0.057365,-0.00000367,0.00137654
0.044465,0.035407,0.00037506,0.00124803
0.068619,0.088106,0.00121168,0.00234078
0.051052,0.009058,0.00017393,0.00190267
0.055444,0.118847,0.00016573,0.00011285
0.044465,0.052974,0.00013755,0.00177498
0.083989,0.006862,0.00037657,0.00149133
0.020311,0.052974,0.00009593,0.00074052
0.048856,0.061757,0.00021103,0.00169607
0.075206,0.035407,-0.00009994,0.00115566
0.068619,0.105673,0.00216928,0.00135787
0.086185,0.013449,-0.00007877,0.00054243
0.086185,0.118847,0.00260786,0.00001702
0.022507,0.085910,0.00007874,0.00025771
0.075206,0.121043,0.00024044,-0.00011983
0.088381,0.107868,0.00614792,0.00225526
